target_id	length	eff_length	est_counts	tpm
ENST00000620756.1	107	24.5252	0	0
ENST00000621236.1	107	24.5252	0	0
ENST00000612283.1	107	24.5252	0	0
ENST00000617512.1	107	24.5252	0	0
ENST00000622103.1	107	24.5252	0	0
ENST00000615903.1	107	24.5252	0	0
ENST00000616830.1	106	24.2615	0	0
ENST00000610987.1	107	24.5252	0	0
ENST00000612589.1	107	24.5252	0	0
ENST00000620701.1	107	24.5252	0	0
ENST00000614774.1	164	45.2628	0	0
ENST00000621107.1	162	44.2754	0	0
ENST00000619524.1	165	45.7546	0	0
ENST00000612176.1	107	24.5252	0	0
ENST00000616468.1	107	24.5252	0	0
ENST00000620122.1	107	24.5252	0	0
ENST00000621753.1	107	24.5252	0	0
ENST00000614042.1	107	24.5252	0	0
ENST00000613962.1	107	24.5252	0	0
ENST00000610860.1	107	24.5252	0	0
ENST00000618624.1	107	24.5252	0	0
ENST00000615657.1	107	24.5252	0	0
ENST00000516570.2	104	23.7544	0	0
ENST00000410416.2	107	24.5252	0	0
ENST00000614719.1	107	24.5252	0	0
ENST00000516518.2	105	24.0604	0	0
ENST00000612763.1	107	24.5252	0	0
ENST00000622163.1	107	24.5252	0	0
ENST00000612506.1	104	23.7544	0	0
ENST00000619328.1	107	24.5252	0	0
ENST00000611407.1	176	51.9115	0	0
ENST00000618083.1	144	36.2877	0	0
ENST00000619109.1	164	45.2628	1.1	5.31433
ENST00000572460.1	107	24.5252	0	0
ENST00000622286.1	107	24.5252	0	0
ENST00000613601.1	104	23.7544	0	0
ENST00000615218.1	107	24.5252	0	0
ENST00000612925.1	176	51.9115	0	0
ENST00000621250.1	98	22.6222	0	0
ENST00000618997.1	107	24.5252	0	0
ENST00000572849.1	165	45.7546	0	0
ENST00000618851.1	107	24.5252	0	0
ENST00000611089.1	107	24.5252	0	0
ENST00000516430.2	107	24.5252	0	0
ENST00000575271.1	107	24.5252	0	0
ENST00000614083.1	180	54.417	0	0
ENST00000611896.1	176	51.9115	0	0
ENST00000612508.1	107	24.5252	0	0
ENST00000617996.1	104	23.7544	0	0
ENST00000610366.1	107	24.5252	0	0
ENST00000611062.1	113	25.7204	0	0
ENST00000613955.1	104	23.7544	0	0
ENST00000615356.1	107	24.5252	0	0
ENST00000610702.1	163	44.808	0	0
ENST00000614520.1	103	23.4998	0	0
ENST00000621409.1	113	25.7204	0	0
ENST00000616185.1	107	24.5252	0	0
ENST00000622869.1	98	22.6222	0	0
ENST00000619058.1	165	45.7546	0	0
ENST00000621035.1	107	24.5252	0	0
ENST00000622384.1	107	24.5252	0	0
ENST00000612437.1	176	51.9115	0	0
ENST00000610695.1	103	23.4998	0	0
ENST00000574861.1	103	23.4998	0	0
ENST00000614682.1	105	24.0604	0	0
ENST00000619359.1	103	23.4998	0	0
ENST00000613320.1	107	24.5252	0	0
